mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
yamdo;;Nom;á;foin, fourrage;hay, fodder;;;;wãmneg zĩiga, kɩʋʋngo;
yãme;;Verbe;;picoter, grouiller, fourmiller;tingle, prickle, sting, smart;;;;;
yam-koom;;Nom;a-òó;bile;gall;;;Body;;
yamleo-gõaada;;Nom;á-éo-ó-á;touriste;tourist.;;yamleo-gõa adba;;;
yamleo-gõore;;Nom;á-éo-ó;tourisme;tourism, sightseeing;;;;gõodem;
yamleoog tʋmda;;Nom;;volontaire;volunteer;;;Worker;;
yamleoogo;;Nom;á-éo-ó;désir, envie, passion, volonté, appétit, plaisir;want, lust, wish, desire, passion, enjoyment, enthusiasm, will, craving;;yamleedo;;tɩlass;
yãm-lorgo;;Nom;;espèce de figuier;kind of fig tree;;;Tree;;
yampaleoogo;;Nom;;désintéressement;unselfishness, disinterestedness, altruism.;yam-yiibu;;;;
yam-sãbse;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
yamsem;;Nom;à-é;sel;salt;;;Food;;
yams-neere;;Nom;;pierre à lécher;lick-block;;;Animal husbandry;kug-lɛlemdga;
yams-nifu;;Nom;;trou laissé par une épine dans le pied;hole caused by a thorn in the foot;;yams-nini;Disease;;
yam-soaba;;Nom;;sage (personne);wise person.;;yam-dãmba;;;
yams-sɩɩdo;;Nom;à;sucre;sugar;yamsem sɩɩdo;;Food;;
yam-wãbda;;Nom;;herbivore;herbivore.;;;;;
yãm-yãme;;Adverbe;á;picotement;stinging, smarting, tingling;;;;;
yam-yĩmsim;;Nom;á-í-í;amnésie, perte de mémoire;loss of memory, amnesia;;;;yĩmsgu;
yam-yoogo;;Nom;;hésitation;hesitation, hesitancy.;;;;;
yãnde;1;Nom;à-é;honte;shame, disgrace;;;;;
yãnde;2;Verbe;;voir;to see;;;;yã1;
yãnde;3;Nom;á;maladie de la peau qui fait des tâches claires;skin disease that causes clear blotches;yãmde, yãndfo;;Disease;yẽndre;
yandem;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
yandge;;Verbe;à;enjamber en écartant les jambes;to stride, straddle, step over;;;;;
yãndme;;Verbe;à;marcher en écartant les jambes;walk with splaying legs;;;;;
yãnd-tɩɩga;;Nom;;arbre (espèce);tree sp;;;Tree;bale-sãoogo, kʋmbrsaka;
yange;1;Verbe;à;écarter;to spread things apart, set at an angle, put away, put aside, force apart, splay;;yamse;;yaage2;
yange;2;Verbe;á-è;s'approcher de la bonne cuisson, cuire presque suffisamment, arriver à point;get close to cooked enough, almost cooked enough.;;;;;
yãnglga;;Adjectif;à-ə́-à;haut sur pattes et squelettique;high on its feet and skeleton-like;yãonglgo;yãnglse;;zʋnglgo;
yãnme;;Verbe;á-è;marcher à quatre pattes;creep, crawl on all fours;;;;;
yao;1;Nom;á;cadet (frère ou sœur), frère ou sœur cadet(te);younger sibling;yaoa;yapa, yaopa;Relationships;;
yao;2;Verbe;á;payer;to pay, pay for;;;Money;;
yao;3;Verbe;áo;s'approcher du but;get closer to the aim;;;;;
yão;1;démonstratif;;ce, celui-ci, celle-ci;this, this one;;;;ada;
yão;2;Nom;áo;met fait de farine de mil et de feuilles cuit à la vapeur;dish with millet flour and leaves (steamed);;;Food;kʋɩlʋ, kʋɩlʋ;
yao samde;;expression;;rembourser;pay back, repay, reimburse, redeem a loan;;;;lebs samde;
yaoa;;Nom;;petit frère, petite sœur cadet, cadette du même sexe;younger sibling or cousin of the same sex, junior sibling;yao;;Relationships;;kẽema
yãoã;;Pronom;à-á;celui-ci, celle-ci;this one;yãoondã, yãwã;;;kada;
yão-beedo;;Nom;ào-é;gloutonnerie;gluttony;;;;katem;
yao-bi-pugla;;Nom;á-ú-á;sœur cadette;younger sister;;yao-kom-pugl i, yap-kom-bipugla;Relationships;;
yao-bi-ribla;;Nom;á-í-á;frère cadet;younger brother;;yao-kom-dibli, yap-kom-bidibli;Relationships;;
yaolengo;;Adjectif;ào-ó;large, vaste, étendu;broad, vast, spacious;;yalemse;;;
yaolsg gɩdgre;;Nom;;Panneau arrêt et stationnement interdits;no stopping;;;7;;
yaoob kaset sebre;;Nom;;reçu;receipt;;;Money;raab kaset sebre, raab kaset sebre, kaset sebre;
yaoobo;;Nom;áo-ò;le fait de payer (de remettre de l'argent);paying.;;;;;
yaood dɛɛgda;;Nom;;collecteur de taxes ou d'impôts, péager;tax collector.;;yaood dɛɛgdba;;;
yaoodo;;Nom;áo-ò;salaire, paie;salary, pay, wages;;;Money;;
yãoodo;1;Nom;ã́;gourmandise, gloutonnerie;greed, greediness, gluttony;;;;yã-beedo;
yãoodo;2;Nom;;boyaux, intestins, entrailles;guts, insides, intestines, entrails;;;Body, Parts of an animal;;
yaoofo;;Nom;áo-ó;éphémère, termite aillée;mayfly, winged termite;;yiu;Insect;;
yaooga;;Adjectif;ào-á;tardif, tardive;late, late-stage;yaoogo;yaoose;;;
yaooge;;Verbe;áo-è;rendre service à, secourir, aider;do a service to, relieve, help, assist, rescue sb;;;;;
yaoogo;;Nom;à-ó;tombe;grave, tomb.;;yaado;;;
yãoogo;1;Nom;áo;intestin, boyaux;intestine, guts, entrails, bowel;;yãado;Body;;
yãoogo;2;Nom;áo-ò;poitrine, thorax;chest, thorax;;yãado;Body;;
yãoogo;3;Nom;áo;gourmandise;greediness, greed, gormandising;;;City;;
yaool n waga;;Nom;;retardataire;latecomer;;;;yaool-n-waanga;
yaoole;1;auxiliaire;à-é;faire ensuite, après, continuer à faire;do next / , go on to ..., do ..;;;;;renge
yaoole;2;Verbe;a/o-e`;consoler, bercer, prendre soin (d'un enfant);comfort, console, lull, dandle, take care of (a child), soothe to sleep, amuse (an infant);;;;;
yaoole;3;auxiliaire;ào;cependant, et pourtant;however, even so, yet;;;;yaale2;
yaoolem;;Nom;;fin, final;end, final;;;;;
yaoolem daab wilgr sebre;;Nom;;testament;will, testament.;;;;;
yaoolge;;Verbe;áo-è;taxer, faire payer, condamner à payer;to charge sb., make sb;;;;;
yaool-n-waanga;;Nom;ào-à-á;retardataire;latecomer;;yaool-n-waan se;;yaool n waga;
yãoondã;;Pronom;ã̀-ó-ã́;celui-ci, celle-ci;this one.;yãoã, yãoonde;;;;
yãoone;;Verbe;;plier, rétrécir;fold, make smaller, shrink;;;;;yõdge2, põdge
yaoore;;Nom;ào-é;termitière (des termites dont les ailées sont comestibles);termite hill, termite mound, termite's nest;;yaoa;Insect;kẽnkẽbre, bɩmbɩʋlgo;
yaoore tãmbeko;;expression;;termitières;termite mound;;;;bɩmbɩlga;
yaoor-ma;;Nom;;reine (mère) termitière, reine des termites;termite queen;yaoor yaaba;yaoor-ma-rãmba;Insect;;
yãoose;;Verbe;ào;marcher en faisant des grands pas et en levant haut les jambes, marcher énergiquement et lestement;walk with big steps and lifting the feet high, walk energetically and agilely.;yãoosme;;;;
yão-roogo;;Nom;á-ó;cage thoracique;chest, ribcage, thorax;;;Body;;
yão-vabga;;Verbe;áo-à;à plat ventre;flat on one's stomach /chest, prostrated;yã-vabga;yão-vabse;;zãmbɛɛla, vãvãbdo;
yão-wʋʋga;;Nom;áo-ʋ́-à;fille ou femme ayant la poitrine plate, sans seins;girl or woman having a flat chest, without much breast volume.;yã-wʋʋga;yão-wʋʋse;;;
yao-zʋʋga;;Nom;;benjamin, le plus petit, le plus jeune, le moins important;the smallest, the least important, youngest;;;Relationships;nugẽ biiga;
yã-raoogo;;Nom;;gros intestin;large intestine;;yã-raado;Body;yã-sagbo, yã-gʋlenga;
yardo;;Nom;;confiance, foi;trust, belief, faith;;;;;
yare;1;Verbe;á;écarter très largement;to spread sth;yarge;;;;
yare;2;Verbe;à;faire pleinement confiance;trust fully;;;;;
yãremde;;Nom;;quadrilatère;quadrilateral, quadrangle;;;Mathematics;;
yãrem-pesre;;Nom;á;trapèze;trapeze;;;Mathematics;;
yãrem-pes-selle;;expression;;trapèze rectangle;rectangle trapezium;;;Mathematics;;
yarga;;Nom;á-à;fraction du peuple moose d'origine mandé;fraction of Mossi people of a Mande origin;;yarse;Community;;
yãrga;;Nom;á-à;tableau grille;table, chart, list;;;Mathematics;;
yãrge;1;Verbe;á-è;crier sur quelqu'un;shout at somebody;;yãre;;;
yãrge;2;Verbe;á-è;devenir rugueux;become rough;;yãre;;;
yãrsenga;;Adjectif;à-è-á;rugueux, dentelé;rough, indented, jerky;yãrsga;yãrsense;;;
yar-yãamde;;Nom;;plante (espèce);plant sp;;yar-yãama;Grass, herb, vine;tũmapʋwuka;
yãr-yãre;;Adverbe;à;qui a des aspérités;that is bumpy, uneven;;;;;
yã-sagbo;;Nom;;gros intestin;large intestine;;;;yã-raoogo;
yase;;Verbe;;se tenir debout, être là;stand, be there;;;;;
yasge;;Verbe;;casser à l'endroit fourchu en tirant;break at the forked place by pulling;yesge;;;wosge;
yasre;;Nom;á;position, taille;position, size;;;;rɩglgo;
yã-tõaanega;;Nom;;intestin grêle;small intestine.;yã-tõonega;yã-toonese;;;
yã-yã;;Adverbe;à;de manière saccadée;jerkily, fitfully;;;;gãg-gãge;
ye;1;numéral;é;un;one;yembre;;;yembo, sembo;
ye;2;auxiliaire;é;deuxième partie de la marque de la négation, ne ..;;;;Grammar;;
ye;3;auxiliaire;é;encore, de nouveau;again, still, once more;yeb;;;le1, lebe2;
ye;4;auxiliaire;é;pourvu que, simplement;so long as, let's hope, simply;yeeg;;;we, fe;
ye;5;conjonction;é;que (conjonction de subordination avec «je»);that, subordination conjunction with «I»;;;;;
yẽ;1;Pronom;é;il, le , lui, (forme emphatique du pronom de 3ème personne singulier);he, she, him, her;a;bãmba;;yẽnda;
yẽ;2;Verbe;è;curer;cleanse;;;;;
yẽ;3;Verbe;è;produire, donner sous terre, multiplier;produce (as: a tuber, ground-nut) under the earth, grow in the soil, grow underground;;;;;
yẽ;4;Verbe;è;pêcher (en prenant le poisson directement à la main);fishing (by catching the fish with the hand);;;;;
yẽ;5;auxiliaire;é;quant à (forme d'insistance);in respect to, regards, as for, as to;;;;;
yẽ;6;Adverbe;;oui mais;yes but;;;;;
ye yaa;;interj;é-à;écoutez, votre attention s'il vous plaît;listen, your attention please;;;;;
yẽbe;;Verbe;è;coucher avec, avoir des rapports sexuels avec (vulgaire);sleeping with, have sexual intercourse with (vulgar), to fuck;;;;lagme;
yẽbga;1;Nom;ẽ́-à;crocodile, caïman;crocodile;;yẽbse;Reptile;;
yẽbga;2;Nom;é-à;espèce de maladie résultant d'une inflammation des ganglions du cou;kind of disease resulting from neck ganglion inflammation;;yẽbse;Disease;;
yẽbge;1;Verbe;é-è;entamer les bases d'une construction;begin the foundation of a construction, to lay foundation, to found;;yẽebe;;;
yẽbge;2;Verbe;è;faire à nouveau en reprenant au début;do again starting from the beginning, redo;;;;manege3, lebe2;
yẽbge;3;Verbe;è;pousser, encourager;push to do, encourage to do;;;;;
yẽbgre;;Nom;;bases, fondement, commencement, implantation;foundations, beginning;;;;tiligri, viuglg zĩigã;
yẽbre;1;Nom;é-è;fondation;foundation;yẽbgre;;;;
yẽbre;2;Nom;é-è;vulve (vulgaire);vulva (vulgar);;yẽba;Body;poglem, kɩnde, zigri2;
yẽbse;1;Nom;è-è;parotidites, maladie (espèce);parotitis, kind of disease;;;Disease;;
yẽbse;2;Verbe;è;faire saillir (vulgaire);copulate with a female;yẽblge;;;;
yedbre;;Nom;é;clavicule;clavicle, collar-bone;;yɛdba;Body;kedbre2;
yẽde;1;Verbe;è;obstruer, boucher;clog, block, plug up, fill up, restrict;yĩdi;;;pigi;
yẽde;2;Verbe;è;se passer après et en absence de;to happen after and in absence of;wẽdge;;;yõde2;
yẽde;3;auxiliaire;è;s'y mettre pour;do in order to.;;;;;
yẽdemde;;Adjectif;é;bouché, comblé;clogged, stopped, packed;;yẽdma;;;
yẽdga;;Nom;è-á;anus, cul, postérieur;anus, ass-hole, buttock, behind;;yẽdse;Body;sɛ-nifo, saeega2, saeega1;
yedge;;Verbe;è;couler le long de;to slide down sth., run down;yɛdge;yeede;;;
yẽdge;1;Verbe;è;compléter, ajouter pour atteindre le prix;supplement, complete to attain the full price;;;;;
yẽdge;2;Verbe;è-è;déboucher;unblock;;;;;
yẽd-killi;;Nom;è-í;fesse;buttock, cheek;;yẽd-kila;Body;parkilli, kɩgbre;
yẽd-kʋgdre;;Nom;;os iliaque;hipbone;;yẽd-kʋgda;Body;kɩɩl-kõbre;
yẽd-nifu;;Nom;è-í-ù;anus;anus, ass-hole;;yẽd-nini;Body;saeega1, sɛ-nifo, lɩd-nifu;
yẽd-nudimdi;;Nom;;rectum;rectum;;yẽd-nudma;Body;;
yẽdre;;Nom;;angoisse, peur, anxiété;anguish, fear, fright, anxiety.;;;;;
yee;1;Adverbe;é;particule d'insistance;particle stressing / emphasizing something;;;Grammar;;
yee;2;interj;é;«hé» dit à haute voix pour attirer l'attention;«Heh» said loudly to get people's attention;;;;;
yee;3;interj;é;utilisé dans les chants entre les morceaux de phrases;used to fill in in songs between bits of sentences;;;;;
yee;4;Adverbe;é;initiation du bruit que fait l'eau qui commence à bouillir;initiation noise of water that starts to boil;;;;;
yeebe;;Verbe;é-è;errer, vagabonder;err, roam, wander, tramp, moon around, ramble;;;;yeeme;
yeebgo;;Nom;;le fait d'errer, vagabonder;erring, roaming, tramping;;;;saabo1;
yẽedo;;Nom;é;pêche;fishing, fishery;;;Hunt and fish;zĩm-lobre;
yeeg;;auxiliaire;;pourvu que;as long as, let's hope that, provided that;ye;;;we, weeg, fe;
yẽega;;Nom;é;ongle;nail, fingernail;;yẽese;Body;;
yeege;;Verbe;è;(se) déshabiller;undress (self or sb.), take off clothes, remove a garment (single instance);;yeese;;;yeelge
yẽege;1;Verbe;è;curer;cleanse;;yẽ;;;
yẽege;2;Verbe;è;faire jour;to dawn, cracking of dawn;;;;;
yẽege;3;Verbe;;frôler, passer très près de;brush against, verge on, graze pass close by;;;;;
yẽege;4;Verbe;é;immobiliser quelqu'un en se mettant sur lui;immobilize somebody by being on top of him;;;;;
yeegre;;Nom;è-é;le fait de déshabiller;undressing.;;;;;
yeele;;Verbe;è;dire;to say.;;;;;
yeelge;;Verbe;è;(s') habiller, vêtir;to dress (self or sb.), clothe, to get dressed, to dress, to put on a garment;;;;yelge2;"yeege, yeese; synonyme: yelge2"
yeelgo;;Nom;è;le fait de dire;saying, speaking, telling;;;;yelsem;
yeelgre;;Nom;;habillement;clothing;;;Clothing;;
yẽemde;;Verbe;è;se racler la gorge;to clear one's throat;;yẽeme;;ẽemde;
yeeme;;Verbe;;errer, vagabonder;err, roam, moon around, ramble;;;;yeebe;
yẽene;;Verbe;é-è;insérer;insert;;;;;
yeere;;Nom;è-é;mâchoire;jaw, jawbone;;yɛya, yeese;Body;;
yẽere;;Nom;é-è;cadet, qui vient immédiatement après;younger brother or sister that comes immediately after / next, next brother or sister, sibling immediately next in birth-order.;;yẽya;;;
yẽesdga;;Nom;;mouchoir;tissue, handkerchief, hanky;;;;;yeelge
yẽese;1;Verbe;é-è;essuyer, effacer, nettoyer;wipe off, to wipe away, mop, towel, delete, erase, clean sth;;;;;
yẽese;2;Verbe;é-è;vouloir se décharger d'un travail sur quelqu'un d'autre;wanting to get somebody else to do the work;;;;;
yẽese;3;Nom;é;guillemets (griffes);quotation marks.;;;;;
yẽese;4;Verbe;;être éveillé, sage;be smart, intelligent, wise;;;;;
yẽesem;;Nom;è;fait d'être éveillé, dégourdissement, intelligence;alertness, being awaken, being bright, being smart, enlightenment, wakefulness;;;;;
yẽesem-dãmba;;Nom;;gens intelligents, intellectuels;intellectuals, intelligent people;;;Teach;yam tʋntʋmda, yam-dãmba;
yẽesem-soaba;;Nom;;personne intelligente;intelligent person, person full of understanding;;yẽesem-dãmba;Teach;;
yẽesenga;;Adjectif;è-á;dégourdi, éveillé, intelligent;smart, clever, bright;yẽesga;yẽesemse, yẽesense;;wɩsenga;
yẽesme;;Verbe;è;se rejeter mutuellement la responsabilité de l'exécution d'une tâche;to put on each other the responsibility to do a task;;;;;
yẽgdge;;Verbe;è;coincer;stick, clamp, jam, grip;yãgdge;;;;
yẽge;;Verbe;é;porter sur le dos ou le côté un enfant qui ne marche pas encore, s'occuper d'un nourrisson;carry on the back or on the side a child that doesn't walk yet, take care of a baby /nursling;;;;;
yẽgende;;Nom;é;racine;root;;yẽgna, yãga;Parts of a plant;yẽgre;
yegle;;Verbe;;(se) mettre à côté de;to put at the side of.;yɛgle;;;;
yẽg-lʋmbre;;Nom;è-ʋ́-è;tubercule;tuber;;;Food;;
yẽgme;;Verbe;é-è;marmonner;to mutter, mumble, buzz, hum, mutter;;;;;
yegre;1;Nom;é-è;joue;cheek;yagre;yɛga;Body;yɛgdga, yagdga;
yegre;2;Nom;;foyer;hearth, fire place for cooking.;yɩgre;;;;
yẽgre;;Nom;é;origine, original, source, provenance;origin;;;;sɩngdga, yẽgende;
yẽg-rɩtem;;Nom;è-ɩ̀-é;tubercules comestibles;edible tubers;;;Food;;
yeke;;Verbe;è;se rencontrer, intercepter;encounter, meet, intercept;;yegse;;;
yẽke;1;Verbe;;voler (oiseau);to fly (bird, bat);;;;yɩke;
yẽke;2;Verbe;è;prendre à la base;take at the base /root;;;;;
yekre;;Nom;è-é;le fait de rencontrer, rencontre;meeting, encountering.;;;;;
yel ka be;;interj;;il n'y a pas de problème;there is no problem;;;Language and thought;;
yel-bãnde;;Nom;;mystère, affaire particulière, extraordinaire, inouïe;mystery, special event, extraordinary case, unheard thing;;yel-bãna;;;
yel-beedo;;Nom;;malheur;woe, adversity, disaster, harm, difficult thing;;;;miskalle, yel-wẽnde;
yel-be-neda;;Nom;;malhonnête;dishonest person.;;;;;
yel-bũndi;;Nom;è-ú;proverbe, dicton, parabole;proverb, saying, adage, byword, dictum, parable;;yel-bũna;Teach;sɩɩlga, sɩɩlga;
yelbũndi;;Nom;è-ṹ;proverbe;proverb;yel-bũndi;yelbũna;;sɩɩlga;
yelge;1;Verbe;é-è;vanner, passer au vent;winnow, have the wind blow away the chaff;;yeele;;peme1;
yelge;2;Verbe;è;porter (vêtement);wear (clothes);;;;yeelge;
yẽlge;;Verbe;é-è;fondre;melt, smelt;;yẽene, yẽlse;;yẽnege;
yel-gɛta;;Nom;;superviseur;supervisor;yell gɛta;yel-gɛtba;;pʋg-n-gese;
yelgre;1;Nom;é-é;le fait de vanner, vannage;winnowing.;;;;;
yelgre;2;Nom;è-é;le fait de porter des vêtements;wearing clothes.;;;;;
yel-kels;;Nom;;curieux;curious person, inquisitive;;;;;
yell gɛta;;Nom;;superviseur, diacre;supervisor, deacon.;yel-gɛta;yell gɛtba;;;
yell soaba;;Nom;;responsable;responsible person, accountable person, person in charge.;;;;;
yell tɩɩm;;Nom;;solution;solution.;;;;;
yellã balbo;;Nom;é á-ò;analyse;analysis;;;;yellã wegsgo;
yellã tɩɩm;;Nom;é ɩ̀ɩ́;solutions proposées;proposed solutions, proposed suggestions.;yel-tɩɩm;;;;
yellã wegsgo;;Nom;;analyse;analysis;;;;yellã balbo;
yelle;;Nom;é;problème, affaire, chose, préoccupation, faute;problem, matter, thing preoccupation, mistake, word, business, palaver;;yɛla;;;
yel-lingdim;;Nom;;surprise, chose surprenante;surprise, surprising thing;;;;;
yelll;;Adverbe;è;mouvement de grande foule vers;moving of a crowd towards;;;;;
yel-pakre;;Nom;;problème, difficulté, danger;problem, difficulty, danger;;;;;
yelsem;;Nom;è-é;choses dites;things said;;;;yeelgo;
yel-solemde;;Nom;è-ó-é;chose mystérieuse, chose cachée, secret, mystère;hidden thing, mysterious thing, secret, mystery.;;yel-soalma;;;
yel-sõmde;;Nom;è-á;bienfait, bonne action;beneficial effect, good action;;yel-sõama, yel-sõmyã;;;
yel-sõm-maanda;;Nom;;bienfaiteur;benefactor.;;;;;
yel-sõm-minim;;Nom;è;reconnaissance;thankfulness, appreciation, acknowledgement, gratefulness;;;;zaamẽ bãngre;
yel-sõm-mita;;Nom;;personne reconnaissante;grateful person, thankful person;;yel-sõm-mitba;;sõm-mita;
yel-sõm-sãoog;;Nom;;bienfait incomplet;incomplete benefit;;;;;
yel-sõm-zɩta;;Nom;;ingrat (personne);ungrateful, unthankful person;;yel-sõm-zɩtba;;sõm-zɩta;
yel-sõm-zɩtem;;Nom;;ingratitude;ingratitude, ungratefulness;;;;sõm-zɩtem;
yel-wẽn maanda;;Nom;;pécheur (lit;;;yel-wẽn maandba;;;
yel-wẽnde;;Nom;è-é;chose interdite, péché, catastrophe;forbidden thing, sin, catastrophe;;yel-wẽna;;yel-beedo;
yel-wẽndlem;;Nom;;mauvais comportement;bad behaviour.;;;;;
yel-yoodo;;Nom;;bêtise;stupidity, mistake, nonsense.;;;;;
yembdo;;Nom;è-ó;esclavage;slavery.;;;;;
yembo;;numéral;é-ó;un (en comptant), 1;one (in counting), 1;;;;ye1, sembo, yembre;
yembre;;numéral;é-é;un, 1, unité, unique, seul;one, 1, unit, unique, only, alone, all on his own;;;;yembo;
yemb-sãnde;;Nom;;espèce de plante;kind of plant;yemb-yoaya;;Grass, herb, vine;;
yem-daoogo;;Nom;è-áo;esclave homme;male slave;;yem-daado;Person;;
yemde;;Nom;é-è;hippopotame;hippopotamus;;yɛma;Mammal;;
yem-poaka;;Nom;è-óa;esclave femme;female slave.;;yem-pogse;;;
yẽn logtore;;Nom;;dentiste;dentist;;;Worker;;
yẽn sẽsdga;;Nom;;rosse à dents;toothbrush;;;;;
yẽn-barga;;Nom;;incisive (dent);incisor (tooth);;yẽn-barse;Body;;
yẽnda;;Pronom;;il, elle, le, lui;he, she, him, her, it;yẽ;bãmba;;yẽ1;
yẽn-daoogo;;Nom;é-áo-ó;molaire, croc;molar, fang;;yẽn-daado;Body;kɩreng yẽnde;
yende;;Adjectif;é-è;seul, unique;single, unique, only, one-and-only, one;;;;yɛnga;
yẽnde;;Nom;ẽ́-è;dent;tooth;;yẽna;Body;;
